size,method,decode_mode,mean_solve_time_sec
10x5,SAGC,Greedy,0.913 +/- 0.000
10x5,SAGC,Sampling,0.850 +/- 0.012
10x5,NoPooling,Greedy,0.308 +/- 0.001
10x5,NoPooling,Sampling,0.812 +/- 0.002
10x5,MWR,-,0.001 +/- 0.010
10x5,SPT,-,0.000 +/- 0.000
10x5,MOR,-,0.000 +/- 0.000
10x5,FIFO,-,0.002 +/- 0.014
20x5,SAGC,Greedy,2.087 +/- 0.003
20x5,SAGC,Sampling,1.631 +/- 0.009
20x5,NoPooling,Greedy,0.614 +/- 0.004
20x5,NoPooling,Sampling,1.642 +/- 0.002
20x5,MWR,-,0.000 +/- 0.000
20x5,SPT,-,0.002 +/- 0.014
20x5,MOR,-,0.001 +/- 0.010
20x5,FIFO,-,0.001 +/- 0.010
15x10,SAGC,Greedy,3.454 +/- 0.020
15x10,SAGC,Sampling,2.557 +/- 0.008
15x10,NoPooling,Greedy,0.930 +/- 0.005
15x10,NoPooling,Sampling,2.842 +/- 0.004
15x10,MWR,-,0.019 +/- 0.042
15x10,SPT,-,0.029 +/- 0.045
15x10,MOR,-,0.002 +/- 0.014
15x10,FIFO,-,0.003 +/- 0.017
20x10,SAGC,Greedy,5.179 +/- 0.009
20x10,SAGC,Sampling,3.468 +/- 0.032
20x10,NoPooling,Greedy,1.261 +/- 0.002
20x10,NoPooling,Sampling,4.255 +/- 0.010
20x10,MWR,-,0.005 +/- 0.022
20x10,SPT,-,0.038 +/- 0.049
20x10,MOR,-,0.003 +/- 0.017
20x10,FIFO,-,0.012 +/- 0.032
30x10,SAGC,Greedy,9.071 +/- 0.030
30x10,SAGC,Sampling,5.338 +/- 0.075
30x10,NoPooling,Greedy,1.858 +/- 0.004
30x10,NoPooling,Sampling,8.262 +/- 0.008
30x10,MWR,-,0.198 +/- 0.024
30x10,SPT,-,0.171 +/- 0.053
30x10,MOR,-,0.204 +/- 0.020
30x10,FIFO,-,0.119 +/- 0.042
40x10,SAGC,Greedy,13.880 +/- 0.036
40x10,SAGC,Sampling,7.779 +/- 0.051
40x10,NoPooling,Greedy,2.498 +/- 0.014
40x10,NoPooling,Sampling,14.971 +/- 0.071
40x10,MWR,-,0.407 +/- 0.051
40x10,SPT,-,0.266 +/- 0.062
40x10,MOR,-,0.434 +/- 0.080
40x10,FIFO,-,0.283 +/- 0.055
50x10,SAGC,Greedy,20.034 +/- 0.065
50x10,SAGC,Sampling,10.763 +/- 0.044
50x10,NoPooling,Greedy,3.162 +/- 0.020
50x10,NoPooling,Sampling,25.138 +/- 0.041
50x10,MWR,-,0.521 +/- 0.043
50x10,SPT,-,0.297 +/- 0.046
50x10,MOR,-,0.518 +/- 0.041
50x10,FIFO,-,0.355 +/- 0.052
100x10,SAGC,Greedy,9.632 +/- 0.056
100x10,SAGC,Sampling,37.759 +/- 0.214
100x10,NoPooling,Greedy,6.933 +/- 0.013
100x10,NoPooling,Sampling,152.534 +/- 0.421
100x10,MWR,-,3.757 +/- 0.199
100x10,SPT,-,1.477 +/- 0.130
100x10,MOR,-,3.768 +/- 0.167
100x10,FIFO,-,2.240 +/- 0.144
200x10,SAGC,Greedy,24.609 +/- 0.213
200x10,SAGC,Sampling,203.908 +/- 0.246
200x10,NoPooling,Greedy,20.229 +/- 0.003
200x10,NoPooling,Sampling,227.652 +/- 0.252
200x10,MWR,-,27.807 +/- 1.021
200x10,SPT,-,9.555 +/- 0.469
200x10,MOR,-,28.185 +/- 0.905
200x10,FIFO,-,15.813 +/- 0.708
